track_name,artist(s)_name,artist_count,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,key
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,313,2,136689549,10,6,100,B
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,880,0,110649992,3,7,112,G#
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,2415,0,323437194,33,57,110,A
Tarot,"Bad Bunny, Jhay Cortez",2,2022,2482,20,608228647,27,77,114,B
Party,"Bad Bunny, Rauw Alejandro",2,2022,3185,4,614555082,38,64,97,A
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,398,0,78139948,2,2,80,F
GATï¿½ï¿½,"Maldy, Karol G",2,2022,3328,13,322336177,39,50,93,B
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1178,0,91656026,9,10,110,D
thought i was playing,"21 Savage, Gunna",2,2022,807,0,60680939,3,0,148,C#
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,553,147,141381703,43,263,125,B
Sprinter,"Dave, Central Cee",2,2023,2186,91,183706234,67,213,141,C#
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3090,50,725980112,34,222,148,F
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,2953,44,553634067,49,110,170,D
un x100to,"Bad Bunny, Grupo Frontera",2,2023,2876,40,505671438,41,205,83,F#
Classy 101,"Feid, Young Miko",2,2023,2610,40,335222234,43,100,100,B
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,1313,40,200647221,17,152,133,F
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,859,40,61245289,35,109,122,F#
TULUM,"Peso Pluma, Grupo Frontera",2,2023,266,34,52294266,20,185,168,F#
TQG,"Karol G, Shakira",2,2023,4284,49,618990393,115,123,180,E
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,672,34,188933502,19,108,150,F#
El Azul,"Junior H, Peso Pluma",2,2023,692,25,354495408,10,107,144,A
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,3408,47,518745108,87,86,67,C#
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,731,15,111947664,27,17,130,B
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,5184,41,156338624,154,84,133,F
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,4053,50,357925728,82,121,95,F
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,1004,35,54266102,42,80,130,C#
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,267,9,39709092,9,6,130,F
El Merengue,"Marshmello, Manuel Turizo",2,2023,2114,44,223633238,80,75,124,G#
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,1962,38,250305248,28,89,150,D
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,2175,23,144565150,69,145,143,D#
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,58,18,39058561,2,106,116,B
Rara Vez,"Taiu, Milo j",2,2023,893,38,248088961,19,23,120,F
LUNA,"Junior H, Peso Pluma",2,2023,201,11,55842345,19,117,128,A
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,5120,48,211050784,161,115,143,A
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,871,32,66902503,25,59,128,B
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,5724,44,721975598,119,108,122,D
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,293,8,11956641,5,2,133,B
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,894,9,233801632,14,88,160,A
PRC,"Natanael Cano, Peso Pluma",2,2023,961,26,436027885,19,143,138,G
Fin de Semana,"Oscar Maydon, Junior H",2,2023,592,14,307370144,11,84,98,
Chanel,"Becky G, Peso Pluma",2,2023,681,10,161460990,15,92,132,D
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,332,5,70106975,18,41,120,A
Area Codes,"Kaliii, Kaliii",2,2023,1197,13,113509496,44,34,155,C#
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,262,5,89933133,8,60,129,G#
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,185,3,43522589,5,6,98,A#
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,588,0,46142772,23,21,90,G#
Las Morras,"BLESSD, Peso Pluma",2,2023,291,8,127026613,8,78,133,A
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,359,2,60350538,1,0,110,F#
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,381,5,46065667,23,82,134,B
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,277,1,39666245,1,20,81,F#
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,967,5,138517666,7,29,154,F#
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,215,6,51985779,6,14,84,A
69,"Nicky Jam, Feid",2,2023,1134,22,57945987,39,14,93,G#
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,1305,34,115010040,29,26,91,G
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,896,0,57089066,34,2,126,C#
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,269,4,71573339,7,2,108,A
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,214,0,24975653,3,3,143,B
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,327,13,92035115,14,110,104,E
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,385,4,77233241,17,7,117,F#
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2127,33,266624541,45,80,178,C#
Shorty Party,"Cartel De Santa, La Kelly",2,2023,432,12,162887075,8,14,96,D
Double Fantasy (with Future),"The Weeknd, Future",2,2023,1169,0,96180277,36,65,119,A
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,1444,4,104992946,0,0,148,A
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,356,10,147290338,4,64,182,A
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,351,9,76910644,16,90,110,B
Mami Chula,"Quevedo, Jhayco",2,2023,875,4,61105704,17,13,120,G
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,105,0,34502215,5,9,145,B
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,200,4,90025258,8,77,123,G
People Pt.2 (feat. IU),"IU, Agust D",2,2023,209,4,95816024,4,45,89,G
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,654,3,100409613,11,3,124,B
DOGTOOTH,"Tyler, The Creator",2,2023,1479,0,80758350,23,0,78,G#
SORRY NOT SORRY,"Tyler, The Creator",2,2023,709,0,58473276,8,1,96,F#
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,407,0,77377503,16,15,134,B
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,320,6,116334601,5,48,142,G
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,1529,0,149778242,32,18,95,
on the street (with J. Cole),"j-hope, J. Cole",2,2023,615,2,116599790,22,82,94,B
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,329,0,58890931,14,35,148,E
PERO Tï¿,"Karol G, Quevedo",2,2023,387,11,93438910,11,15,140,F#
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,415,2,152850295,15,40,100,
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,658,6,120972253,33,7,90,A#
