track_name,artist(s)_name,artist_count,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,key
Super Shy,NewJeans,1,2023,422,55,58255150,37,202,150,F
Flowers,Miley Cyrus,1,2023,12211,115,1316855716,300,215,118,
Daylight,David Kushner,1,2023,3528,98,387570742,80,156,130,D
Cupid - Twin Ver.,Fifty Fifty,1,2023,2942,77,496795686,91,212,120,B
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,873,104,30546883,80,227,78,
Like Crazy,Jimin,1,2023,596,68,363369738,8,104,120,G
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,516,38,52135248,73,119,123,F#
SABOR FRESA,Fuerza Regida,1,2023,250,26,78300654,16,149,130,G
Last Night,Morgan Wallen,1,2023,2420,19,429829812,52,107,204,F#
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,2988,101,127408954,0,0,110,B
Rush,Troye Sivan,1,2023,864,78,22581161,71,135,126,F
TQM,Fuerza Regida,1,2023,584,28,176553476,16,159,125,F
AMARGURA,Karol G,1,2023,1133,39,153372011,14,71,107,F#
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,2259,59,57876440,0,0,130,G
Moonlight,Kali Uchis,1,2023,2649,42,256483385,67,79,137,G
S91,Karol G,1,2023,525,41,16011326,34,115,128,
Overdrive,Post Malone,1,2023,410,36,14780425,36,32,140,C#
Enchanted (Taylor's Version),Taylor Swift,1,2023,148,24,39578178,32,93,82,G#
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,370,20,43857627,12,16,98,C#
Back To December (Taylor's Version),Taylor Swift,1,2023,139,17,39228929,16,72,142,D
Fast Car,Luke Combs,1,2023,1446,12,157058870,57,97,98,G#
What It Is (Solo Version),Doechii,1,2023,804,25,95131998,29,76,172,C#
Say Yes To Heaven,Lana Del Rey,1,2023,2000,46,127567540,49,105,100,F#
Take Two,BTS,1,2023,674,47,118482347,20,106,93,G
Chemical,Post Malone,1,2023,2528,39,172825906,56,91,170,D
New Jeans,NewJeans,1,2023,77,35,29562220,8,166,134,E
Mine (Taylor's Version),Taylor Swift,1,2023,99,15,36912123,21,52,121,G
Tattoo,Loreen,1,2023,2988,59,201660859,74,102,150,D#
Queencard,(G)I-DLE,1,2023,451,33,96273746,10,126,130,E
OMG,NewJeans,1,2023,1783,27,430977451,26,124,127,A
El Gordo Trae El Mando,Chino Pacas,1,2023,539,21,255932395,7,71,140,G
Mi Bello Angel,Natanael Cano,1,2023,86,8,31873544,7,76,128,A
Bye,Peso Pluma,1,2023,324,14,95053634,13,110,122,
ýýýýýýýýýýýý,YOASOBI,1,2023,356,16,143573775,35,102,166,C#
Cheques,Shubh,1,2023,67,8,47956378,7,10,90,E
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,86,11,30343206,3,33,146,B
Acrï¿½ï¿½s,Shakira,1,2023,955,29,123124076,37,50,144,B
S-Class,Stray Kids,1,2023,290,19,65496046,9,101,105,F
Hits Different,Taylor Swift,1,2023,547,0,68616963,15,15,106,F
FLOWER,JISOO,1,2023,839,18,232896922,20,110,124,A
Eyes Closed,Ed Sheeran,1,2023,2915,30,195576623,116,69,107,D
Bite Me,ENHYPEN,1,2023,349,69,76767396,8,96,105,C#
Search & Rescue,Drake,1,2023,2066,6,175097833,58,70,142,A#
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,984,5,153454328,8,57,154,F#
Cupido,Tini,1,2023,1240,24,217672943,51,29,120,A
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,845,2,145458418,12,57,108,D
Curtains,Ed Sheeran,1,2023,715,0,39893489,37,3,176,F#
Haegeum,Agust D,1,2023,244,12,118810253,6,84,85,G
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,1020,35,206399629,15,26,80,
Never Felt So Alone,Labrinth,1,2023,1730,3,117747907,46,5,98,F
Cupid,Fifty Fifty,1,2023,526,10,139681964,15,93,120,D
I AM,IVE,1,2023,366,15,123132751,16,102,122,E
Super,SEVENTEEN,1,2023,271,12,91221625,16,103,137,G#
Set Me Free Pt.2,Jimin,1,2023,340,13,168448603,4,71,132,
Like Crazy (English Version),Jimin,1,2023,373,19,173627354,4,72,120,G
REMIX EXCLUSIVO,Feid,1,2023,1235,9,117206995,20,8,87,F
HAPPY,NF,1,2023,660,0,52722996,22,7,106,G
VOID,Melanie Martinez,1,2023,596,0,67070410,29,9,100,A
If We Ever Broke Up,Mae Stephens,1,2023,2040,4,165584767,81,27,116,G
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,34,0,68216992,0,0,92,A#
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,356,4,88791109,4,20,121,F#
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,604,6,125917280,22,101,140,D#
Everything I Love,Morgan Wallen,1,2023,579,0,95623148,11,54,104,G#
Heaven,Niall Horan,1,2023,1553,2,144584800,61,6,92,F
Sial,Mahalini,1,2023,134,4,166570053,4,6,120,D
I Wrote The Book,Morgan Wallen,1,2023,430,0,83021468,15,17,144,D
Red Ruby Da Sleeze,Nicki Minaj,1,2023,1168,0,81419389,45,11,98,C#
ýýý98 Braves,Morgan Wallen,1,2023,282,0,56533272,6,15,142,D
WANDA,Quevedo,1,2023,888,22,175399345,11,24,176,E
Love Again,The Kid Laroi,1,2023,1283,0,147538971,57,4,107,B
Born With A Beer In My Hand,Morgan Wallen,1,2023,203,0,34450974,5,9,148,
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,166,0,32526947,2,10,125,
LLYLM,ROSALï¿½,1,2023,1838,0,124988687,105,41,170,F#
TRUSTFALL,P!nk,1,2023,2098,16,134255790,88,24,122,G#
